Sample,
blk1,
blk2,
blk3,
blk4,
blk5,
SL std mix1,
SL std mix2,
blk6,
M58-samblk1,
M59-samblk2,
blk7,
M47-59 QC Spleen1,
M47-59 QC Spleen2,
M47-59 QC Spleen3,
blk8,
M47-Spleen 1460,5.5
M48-Spleen 1461,4
M49-Spleen 1462,4.8
blk9,
M50-Spleen 1464,4.6
M51- Spleen 1972,6.1
M52- Spleen 1973,5.2
blk10,
M53- Spleen 1974,5.3
M54- Spleen 1975,3.4
M55- Spleen 1981,5
blk11,
M56- Spleen1982,5.2
M57- Spleen1463,6.4
M47-59 QC Spleen4,
M47-59 QC Spleen5,
blk12,
