Lipid,Standard,Concentration (nmol/ml),RelativeAbundance
MHCer d18:1/C23:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C23:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C23:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C23:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C24:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C24:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C24:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C24:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C25:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C25:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C25:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C25:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C26:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C26:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C26:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C26:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C8:0 (ISTD) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C8:0 (ISTD)(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C16:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C16:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C16:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C16:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C20:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C20:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C22:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C22:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C22:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C22:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C23:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C23:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C24:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C24:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C24:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C24:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:2/C25:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:2/C25:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
SM C24:1 (ISTD) Results,SM C24:1 (ISTD) Results,0.355,0
SM C30:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C32:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C32:2 Results,SM C24:1 (ISTD) Results,0.355,1
SM C34:0 Results,SM C24:1 (ISTD) Results,0.355,1
SM C34:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C34:2 Results,SM C24:1 (ISTD) Results,0.355,1
SM C36:0 Results,SM C24:1 (ISTD) Results,0.355,1
SM C36:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C36:2 Results,SM C24:1 (ISTD) Results,0.355,1
SM C38:0 Results,SM C24:1 (ISTD) Results,0.355,1
SM C38:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C38:2 Results,SM C24:1 (ISTD) Results,0.355,1
SM C39:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C40:0 Results,SM C24:1 (ISTD) Results,0.355,1
SM C40:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C40:2 Results,SM C24:1 (ISTD) Results,0.355,1
SM C41:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C41:2 Results,SM C24:1 (ISTD) Results,0.355,1
SM C42:0 Results,SM C24:1 (ISTD) Results,0.355,1
SM C42:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C42:2 Results,SM C24:1 (ISTD) Results,0.355,1
SM C42:3 Results,SM C24:1 (ISTD) Results,0.355,1
SM C43:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM C43:2 Results,SM C24:1 (ISTD) Results,0.355,1
SM C44:1 Results,SM C24:1 (ISTD) Results,0.355,1
SM d16:1/C16:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d16:1/C18:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d16:1/C20:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d16:1/C22:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d16:1/C23:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d16:1/C24:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d16:1/C24:1 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:0/C16:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:0/C18:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:0/C20:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:0/C22:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:0/C24:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C12:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C14:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C16:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C18:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C20:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C22:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C22:1 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C23:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C23:1 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C24:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C24:1 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C25:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C25:1 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C26:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:1/C6:0 (ISTD) Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C14:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C16:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C18:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C20:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C22:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C23:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C24:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C24:1 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
SM d18:2/C25:0 Results,SM d18:1/C6:0 (ISTD) Results,0.355,0
Sphd16:1 Results,Sphd18:1-D7 (ISTD) Results,0.08,1
Sphd18:0 Results,Sphd18:0-D7 (ISTD) Results,0.08,1
Sphd18:0-D7 (ISTD) Results,Sphd18:0-D7 (ISTD) Results,0.08,0
Sphd18:1 Results,Sphd18:1-D7 (ISTD) Results,0.08,1
Sphd18:1-D7 (ISTD) Results,Sphd18:1-D7 (ISTD) Results,0.08,0
Sphd18:2 Results,Sphd18:1-D7 (ISTD) Results,0.08,1
