Lipid,Standard,Concentration (nmol/ml),RelativeAbundance
Cer d18:1/C20:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C22:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C22:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C22:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C22:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C23:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C23:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C23:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C23:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C24:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C24:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C24:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C24:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C25:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C25:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C25:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C25:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C26:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C26:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C26:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:1/C26:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:1/C8:0 (ISTD) Results,Cer d18:1/C8:0 (ISTD) Results,0.235,0
Cer d18:1/C8:0 (ISTD)(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C14:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C14:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C16:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C16:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C18:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C18:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C18:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C18:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C20:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C20:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C20:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C20:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C22:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C22:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C22:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C22:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C23:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C23:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C23:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C23:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C24:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C24:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C24:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C24:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C25:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C25:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C25:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C25:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C26:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C26:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:2/C26:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:2/C26:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
DHCer d16:1/C16:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d16:1/C16:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C14:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C14:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C16:0 D3 ISTD Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C16:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C16:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C18:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C18:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C20:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C20:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C22:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C22:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C22:1 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C22:1(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C23:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C23:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C24:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C24:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:1/C24:1 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:1/C24:1(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:2/C16:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:2/C16:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:2/C18:1 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:2/C18:1(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:2/C22:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:2/C22:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:2/C24:0 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:2/C24:0(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
DHCer d18:2/C24:1 Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,1
DHCer d18:2/C24:1(-H20) Results,DHCer d18:1/C16:0 D3 ISTD Results,0.1,0
Gb3 (d18:1)(C18:0)-D3-IS Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,0
Gb3(d16:1)(C16:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d16:1)(C16:0) SL Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,0
Gb3(d16:1)(C22:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:1)(C12:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:1)(C12:0) SL Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,0
Gb3(d18:1)(C14:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:1)(C16:0) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
Gb3(d18:1)(C16:0) SL Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,0
Gb3(d18:1)(C16:1) Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
